date,ticker,close,decline_return_1d,return_5d,return_20d,dev_ma25,dev_ma75,vol_ratio,rsi14,volatility_20d,max_future_return,label
2015-01-06,5444.T,2220.637451171875,-0.05050490393854823,,,,,,,,0.02431613248017119,0
2015-01-06,6763.T,791.3482666015625,-0.055336007833335144,,,,,,,,0.07113004176484426,0
2015-01-06,9069.T,408.62042236328125,-0.058919868133119335,,,,,,,,0.03130419754805083,0
2015-01-06,5901.T,1069.5269775390625,-0.061670842163850326,,,,,,,,-0.0049472896679988105,0
2015-01-06,9025.T,923.890625,-0.06233437795613994,,,,,,,,0.006043592188266333,0
2015-01-06,1899.T,1861.8662109375,-0.0510805739328255,,,,,,,,-0.0010351808055488682,0
2015-01-06,8593.T,350.0618896484375,-0.05347590626440668,,,,,,,,0.00941588523513734,0
2015-01-06,9974.T,2879.802490234375,-0.0687332848317953,,,,,,,,-0.05643994309437759,0
2015-01-06,6383.T,365.6932678222656,-0.05182466810207342,,,,,,,,0.009237558058111646,0
2015-01-06,6798.T,3371.171875,-0.053784602565165596,,,,,,,,-0.02526317466570879,0
2015-01-06,9788.T,355.6119079589844,-0.050699436286418265,,,,,,,,-0.017495272122121833,0
2015-01-06,9418.T,681.7301635742188,-0.07264969825221412,,,,,,,,0.1536099260600349,1
2015-01-06,3086.T,997.8583374023438,-0.050462040519338336,,,,,,,,0.023951870555781973,0
2015-01-06,1605.T,850.7059936523438,-0.05804237927244993,,,,,,,,-0.004027416623959577,0
2015-01-06,4704.T,2202.273681640625,-0.05105097491603283,,,,,,,,0.006329019203231568,0
2015-01-06,1968.T,410.4091491699219,-0.053648032276612634,,,,,,,,0.010204050523312002,0
2015-01-06,7844.T,960.9146118164062,-0.08131581536388843,,,,,,,,0.016891789533858944,0
2015-01-06,9507.T,1045.80078125,-0.05006844071049721,,,,,,,,0.007220328695489775,0
2015-01-06,2337.T,186.3355255126953,-0.06374495730238738,,,,,,,,0.025531857397238792,0
2015-01-06,6806.T,9365.185546875,-0.05845068479660909,,,,,,,,0.016454726041324513,0
2015-01-06,2379.T,606.5836181640625,-0.05367593448428576,,,,,,,,0.12083828305662175,1
2015-01-06,5707.T,3121.061767578125,-0.050970827298527865,,,,,,,,-0.015345432591651244,0
2015-01-06,7915.T,1445.6693115234375,-0.05071383689565778,,,,,,,,-0.02697104422615937,0
2015-01-06,5938.T,1605.796630859375,-0.05246788127985513,,,,,,,,0.0020508281231494236,0
2015-01-06,2929.T,461.1983337402344,-0.06814153376921261,,,,,,,,0.0,0
2015-01-06,7735.T,687.5398559570312,-0.05874144046659113,,,,,,,,0.07875191539410935,0
2015-01-06,7172.T,480.27008056640625,-0.057561062895734816,,,,,,,,-0.023809451189484472,0
2015-01-06,6305.T,1772.879638671875,-0.056920007392208705,,,,,,,,0.00620080793586639,0
2015-01-06,1980.T,158.41156005859375,-0.052054781011730444,,,,,,,,0.008670578693580795,0
